Tn	Tp	Rn	Rp	R1	APDS	wl(A)	n1	n2	n3	n4	n5	n6	n7	n8	n_ibri
0.7156020	0.0000000	0.2034499	0.0000000	0.0000000	0.8348572	3491.6201117	1.5419922	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.7222157	0.0000000	0.2112988	0.0000000	0.0000000	0.8353228	3509.5928872	1.5415673	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.7271875	0.0000000	0.2199000	0.0000000	0.0000000	0.8358413	3527.7516463	1.5411476	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.7297511	0.0000000	0.2273203	0.0000000	0.0000000	0.8364138	3546.0992908	1.5407327	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.7313816	0.0000000	0.2342980	0.0000000	0.0000000	0.8379424	3564.6387833	1.5403225	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.7314639	0.0000000	0.2413843	0.0000000	0.0000000	0.8411690	3583.3731486	1.5399171	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.7309366	0.0000000	0.2482151	0.0000000	0.0000000	0.8433064	3602.3054755	1.5395162	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.7292249	0.0000000	0.2537484	0.0000000	0.0000000	0.8435358	3621.4389184	1.5391200	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.7259740	0.0000000	0.2589363	0.0000000	0.0000000	0.8444701	3640.7766990	1.5387282	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.7252980	0.0000000	0.2647356	0.0000000	0.0000000	0.8477215	3660.3221083	1.5383408	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.7214113	0.0000000	0.2689103	0.0000000	0.0000000	0.8488920	3680.0785083	1.5379578	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.7176887	0.0000000	0.2734490	0.0000000	0.0000000	0.8509298	3700.0493340	1.5375789	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.7127503	0.0000000	0.2780229	0.0000000	0.0000000	0.8531216	3720.2380952	1.5372044	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.7075063	0.0000000	0.2817158	0.0000000	0.0000000	0.8554867	3740.6483791	1.5368338	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.7022857	0.0000000	0.2849003	0.0000000	0.0000000	0.8571192	3761.2838516	1.5364674	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6973786	0.0000000	0.2879557	0.0000000	0.0000000	0.8590855	3782.1482602	1.5361049	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6922509	0.0000000	0.2915595	0.0000000	0.0000000	0.8613673	3803.2454361	1.5357463	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6900003	0.0000000	0.2948789	0.0000000	0.0000000	0.8637748	3824.5792963	1.5353916	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6892906	0.0000000	0.2983176	0.0000000	0.0000000	0.8657950	3846.1538462	1.5350407	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6888703	0.0000000	0.3013295	0.0000000	0.0000000	0.8686901	3867.9731821	1.5346934	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6879306	0.0000000	0.3040221	0.0000000	0.0000000	0.8707533	3890.0414938	1.5343499	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6870273	0.0000000	0.3066640	0.0000000	0.0000000	0.8731778	3912.3630673	1.5340099	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6860847	0.0000000	0.3090087	0.0000000	0.0000000	0.8743598	3934.9422875	1.5336738	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6839585	0.0000000	0.3113302	0.0000000	0.0000000	0.8767440	3957.7836412	1.5333408	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6823702	0.0000000	0.3132591	0.0000000	0.0000000	0.8789078	3980.8917197	1.5330114	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6800993	0.0000000	0.3151680	0.0000000	0.0000000	0.8806145	4004.2712226	1.5326855	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6782166	0.0000000	0.3168325	0.0000000	0.0000000	0.8825976	4027.9269603	1.5323627	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6763604	0.0000000	0.3187635	0.0000000	0.0000000	0.8843843	4051.8638574	1.5320433	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6744054	0.0000000	0.3203669	0.0000000	0.0000000	0.8865633	4076.0869565	1.5317273	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6722817	0.0000000	0.3216061	0.0000000	0.0000000	0.8881436	4100.6014215	1.5314144	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6700118	0.0000000	0.3228060	0.0000000	0.0000000	0.8902384	4125.4125413	1.5311044	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6682065	0.0000000	0.3241496	0.0000000	0.0000000	0.8916532	4150.5257333	1.5307978	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6666940	0.0000000	0.3252393	0.0000000	0.0000000	0.8935280	4175.9465479	1.5304942	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6653897	0.0000000	0.3262203	0.0000000	0.0000000	0.8951330	4201.6806723	1.5301934	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6637547	0.0000000	0.3270059	0.0000000	0.0000000	0.8966667	4227.7339346	1.5298959	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6627170	0.0000000	0.3276193	0.0000000	0.0000000	0.8980792	4254.1123086	1.5296011	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6619160	0.0000000	0.3281474	0.0000000	0.0000000	0.8991561	4280.8219178	1.5293093	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6606505	0.0000000	0.3286215	0.0000000	0.0000000	0.9005203	4307.8690408	1.5290201	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6597594	0.0000000	0.3293722	0.0000000	0.0000000	0.9018420	4335.2601156	1.5287338	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6587163	0.0000000	0.3298346	0.0000000	0.0000000	0.9032027	4363.0017452	1.5284505	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6582564	0.0000000	0.3300087	0.0000000	0.0000000	0.9040615	4391.1007026	1.5281694	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6576354	0.0000000	0.3305552	0.0000000	0.0000000	0.9054310	4419.5639364	1.5278914	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6574091	0.0000000	0.3308162	0.0000000	0.0000000	0.9063862	4448.3985765	1.5276158	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6572425	0.0000000	0.3309151	0.0000000	0.0000000	0.9070402	4477.6119403	1.5273430	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
