eTn	eTp	eRn	eRp	eR1	eAPDS	eLETT	k1	k2	k3	k4	k5	k6	k7	k8	k_ibri
0.0020893	1.0000000	0.0019798	1.0000000	1.0000000	1.0000000	0.0005150	0.0000023	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0021035	1.0000000	0.0020360	1.0000000	1.0000000	1.0000000	0.0005147	0.0000020	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0021142	1.0000000	0.0020976	1.0000000	1.0000000	1.0000000	0.0005144	0.0000017	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0021195	1.0000000	0.0021508	1.0000000	1.0000000	1.0000000	0.0005141	0.0000015	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0021228	1.0000000	0.0022007	1.0000000	1.0000000	1.0000000	0.0005138	0.0000013	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0021227	1.0000000	0.0022514	1.0000000	1.0000000	1.0000000	0.0005135	0.0000012	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0021212	1.0000000	0.0023003	1.0000000	1.0000000	1.0000000	0.0005132	0.0000010	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0021172	1.0000000	0.0023399	1.0000000	1.0000000	1.0000000	0.0005129	0.0000009	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0021098	1.0000000	0.0023770	1.0000000	1.0000000	1.0000000	0.0005126	0.0000008	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0021080	1.0000000	0.0024185	1.0000000	1.0000000	1.0000000	0.0005124	0.0000007	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020992	1.0000000	0.0024482	1.0000000	1.0000000	1.0000000	0.0005121	0.0000007	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020907	1.0000000	0.0024807	1.0000000	1.0000000	1.0000000	0.0005118	0.0000006	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020796	1.0000000	0.0025133	1.0000000	1.0000000	1.0000000	0.0005116	0.0000007	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020679	1.0000000	0.0025397	1.0000000	1.0000000	1.0000000	0.0005113	0.0000007	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020561	1.0000000	0.0025624	1.0000000	1.0000000	1.0000000	0.0005111	0.0000008	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020451	1.0000000	0.0025841	1.0000000	1.0000000	1.0000000	0.0005109	0.0000009	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020336	1.0000000	0.0026099	1.0000000	1.0000000	1.0000000	0.0005106	0.0000009	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020284	1.0000000	0.0026335	1.0000000	1.0000000	1.0000000	0.0005104	0.0000009	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020266	1.0000000	0.0026581	1.0000000	1.0000000	1.0000000	0.0005102	0.0000008	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020255	1.0000000	0.0026795	1.0000000	1.0000000	1.0000000	0.0005100	0.0000007	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020232	1.0000000	0.0026987	1.0000000	1.0000000	1.0000000	0.0005098	0.0000006	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020210	1.0000000	0.0027175	1.0000000	1.0000000	1.0000000	0.0005095	0.0000005	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020187	1.0000000	0.0027342	1.0000000	1.0000000	1.0000000	0.0005093	0.0000004	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020139	1.0000000	0.0027507	1.0000000	1.0000000	1.0000000	0.0005091	0.0000004	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020102	1.0000000	0.0027644	1.0000000	1.0000000	1.0000000	0.0005089	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020050	1.0000000	0.0027780	1.0000000	1.0000000	1.0000000	0.0005088	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020006	1.0000000	0.0027898	1.0000000	1.0000000	1.0000000	0.0005086	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019964	1.0000000	0.0028035	1.0000000	1.0000000	1.0000000	0.0005084	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0019919	1.0000000	0.0028148	1.0000000	1.0000000	1.0000000	0.0005082	0.0000003	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
