wl(nm)	eTn	eTp	eRn	eRp	eR1	eAPDS	eDEL_1	ePSI_1	eDEL_2	ePSI_2	eDEL_3	ePSI_3	eDEL_4	ePSI_4
352.775	0.0000000	0.0000000	0.0000000	0.0000000	0.0062530	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
354.61	0.0000000	0.0000000	0.0000000	0.0000000	0.0063190	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
356.464	0.0000000	0.0000000	0.0000000	0.0000000	0.0063698	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
358.337	0.0000000	0.0000000	0.0000000	0.0000000	0.0064284	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
360.231	0.0000000	0.0000000	0.0000000	0.0000000	0.0064773	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
362.144	0.0000000	0.0000000	0.0000000	0.0000000	0.0065094	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
364.078	0.0000000	0.0000000	0.0000000	0.0000000	0.0065456	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
366.032	0.0000000	0.0000000	0.0000000	0.0000000	0.0065899	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
368.008	0.0000000	0.0000000	0.0000000	0.0000000	0.0066167	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
370.005	0.0000000	0.0000000	0.0000000	0.0000000	0.0066441	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
372.024	0.0000000	0.0000000	0.0000000	0.0000000	0.0066803	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
374.065	0.0000000	0.0000000	0.0000000	0.0000000	0.0067077	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
376.128	0.0000000	0.0000000	0.0000000	0.0000000	0.0067377	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
378.215	0.0000000	0.0000000	0.0000000	0.0000000	0.0067596	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
380.325	0.0000000	0.0000000	0.0000000	0.0000000	0.0067967	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
382.458	0.0000000	0.0000000	0.0000000	0.0000000	0.0068299	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
384.615	0.0000000	0.0000000	0.0000000	0.0000000	0.0068594	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
386.797	0.0000000	0.0000000	0.0000000	0.0000000	0.0068916	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
389.004	0.0000000	0.0000000	0.0000000	0.0000000	0.0069205	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
391.236	0.0000000	0.0000000	0.0000000	0.0000000	0.0069488	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
393.494	0.0000000	0.0000000	0.0000000	0.0000000	0.0069695	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
395.778	0.0000000	0.0000000	0.0000000	0.0000000	0.0069913	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
398.089	0.0000000	0.0000000	0.0000000	0.0000000	0.0070148	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
400.427	0.0000000	0.0000000	0.0000000	0.0000000	0.0070319	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
402.793	0.0000000	0.0000000	0.0000000	0.0000000	0.0070508	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
405.186	0.0000000	0.0000000	0.0000000	0.0000000	0.0070690	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
407.609	0.0000000	0.0000000	0.0000000	0.0000000	0.0070846	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
410.06	0.0000000	0.0000000	0.0000000	0.0000000	0.0070992	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
412.541	0.0000000	0.0000000	0.0000000	0.0000000	0.0071187	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
415.053	0.0000000	0.0000000	0.0000000	0.0000000	0.0071275	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
417.595	0.0000000	0.0000000	0.0000000	0.0000000	0.0071422	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
420.168	0.0000000	0.0000000	0.0000000	0.0000000	0.0071514	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
422.773	0.0000000	0.0000000	0.0000000	0.0000000	0.0071688	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
425.411	0.0000000	0.0000000	0.0000000	0.0000000	0.0071788	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
428.082	0.0000000	0.0000000	0.0000000	0.0000000	0.0071839	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
430.787	0.0000000	0.0000000	0.0000000	0.0000000	0.0071974	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
433.526	0.0000000	0.0000000	0.0000000	0.0000000	0.0072114	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
436.3	0.0000000	0.0000000	0.0000000	0.0000000	0.0072177	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
439.11	0.0000000	0.0000000	0.0000000	0.0000000	0.0072260	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
